,category,sub_category,techs
304,Marketing,Display Advertising,"['NetSuite' 'Outbrain' 'Asana' 'Smartsheet' 'WordStream Advisor'
 'monday.com' 'Operative' 'wikia' 'Workfront' 'Qzzr' 'ReachLocal'
 'Marketing 360' 'Bannersnack' 'Flite' 'Assembla' 'TimeHero' 'Accelo'
 'GumGum' 'Smart AdServer' 'Rocket Fuel' 'Workamajig' 'AdMantX'
 'Sociomantic' 'UnderdogMedia' 'Monetate' 'Adacado' 'FreshBooks' 'AdPlugg'
 'AOL' 'InSkin Media' 'Yahoo!' 'Dentsu Aegis Network' 'NetSeer'
 'Resource Guru' 'BannerNow' 'Imonomy' 'ActiveCollab' 'Pixfuture'
 'Enzymic Content Ads Management Platform' 'MediaRadar' 'Midroll' 'Glip'
 'ReportGarden' 'Enplug DisplayOS' 'WideOrbit' 'FunctionFox' 'TapClicks'
 'Favro' 'Intelligent Optimisations' 'Telmar' 'Pastel' 'Vertoz' 'Scoro'
 'Easy Projects' 'Bannerwise' 'WorkBook' 'Cadreon' 'Galdly' 'Adtegrity'
 'Yieldbot' 'MightyHive' 'SellPoints' 'BoostSuite' 'Semcasting' 'adChain'
 'Workgroups DaVinci' 'Clipcentric' 'GoBID' 'ProofHub' 'Bionic'
 'SimilarWeb PRO' 'EverThere' 'Shortlist' 'Finelink 2.0' 'TrackingDesk'
 'Seeqle' 'Adnegah' 'Ignitur' 'CtrlShift' 'Adpiler' 'REACH'
 'Digital Impact' 'Steepto' 'Conversant' 'Specless' 'Adcade' 'SignEdge'
 'Yandex Display' 'Bannereasy' 'AdWizz' 'Invite Media' 'Databerries'
 'Smart Ads by Smart Prospective' 'Linkedin Display Ads' 'Axad'
 'AccountJoy' 'Hola Networks' 'Magnetic' 'ScrollRoll' 'KlausTech']"
305,Marketing,Personalization,"['Adobe Target' 'Oracle ATG Web Commerce' 'Medio' 'Piwik PRO' 'mParticle'
 'Ezoic' 'Emarsys' 'Dynamic Yield' 'Cxense' 'Oracle Commerce' 'Listrak'
 'Personizely' 'Jivox' 'Crownpeak' 'Acquia' 'Kameleoon' 'Qubit' 'Insider'
 'Certona' 'Lytics' 'SmarterHQ' 'Mutiny' 'BloomReach'
 'SAS Customer Intelligence' 'RightMessage' 'Twik' 'Unless' 'OneSpot'
 'Get Smart Content' 'ExitIntel' 'Tooltip.io' 'Outgrow' 'Pulse Insights'
 'Adestra' 'Influ2' 'BrightInfo' 'Browsi' 'dotCMS' 'Pisano' 'Adoric'
 'Scalefast' 'Drawbridge' 'RecastAI' 'BySide' 'Cerkl' 'Knexus' 'Reactful'
 'Fanplayr' 'Plumb5' 'Peerius' 'Quintype' 'ACTITO' 'QGraph' '4-Tell'
 'SessionM' 'Groupmail' 'ContentRaven' 'FunnelEnvy' 'Cordial' 'Traqli'
 'Ivanti Environment Manager' 'ReactX' 'TellApart' 'Recombee' 'Prudsys'
 'Netmining' 'Yusp' 'REES46 eCommerce Marketing Personalization Suite'
 'Idio' 'Boingnet' 'AceBot.ai' 'LiftIgniter' 'Logic Hop' 'Wylei'
 'Leadworx' 'Convert Experiences' 'DecisionLink'
 'Experiture Marketing Platform' 'Enthusem' 'ExpertSender' 'AdGreetz'
 'Adapti' 'HTK | Horizon Loyalty Hub' 'Voyat' 'IBM Campaign' 'Airim'
 'Driveback' 'Booshaka' 'Taykey' 'AppToolkit' 'Bunting' 'Monoloop'
 'Spinnakr' 'Index' 'CASA' 'Rezza' 'MobileRQ']"
306,Marketing,Email Marketing Automation,"['MailChimp Marketing' 'Mailjet' 'SendinBlue' 'ClickDimensions'
 'Intuit Demandforce' 'iContact' 'Zoho Campaigns' 'Benchmark' 'ONTRAPORT'
 'Robly' 'Builderall' 'HelpCrunch' 'Systeme' 'SMTP.com' 'Vbout'
 'Customer.io' 'Salesforce Email Studio' 'Blueshift' 'Reply' 'Metrilo'
 'Route' 'Pure360 Marketing Suite' 'Everlytic' 'Woodpecker' 'Bizzy'
 'Ometria' 'Automizy' 'WhatCounts' 'Bluecore' 'Sendlane' 'Adestra'
 'Movable Ink' 'Emma' 'Vocus.io' 'GatorMail from CommuniGator'
 'Audience.to' 'Brandbot' 'easysendy' 'MPZmail' 'rasa.io'
 'HighRoad Solution' 'SmartReach' 'MageMail' 'Nodemailer' 'iHance'
 'QGraph' 'Sendwithus' 'Maropost Marketing Cloud' 'QuickMail'
 'Right On Interactive' 'Really Simple Systems' 'Pluck' 'REDLINK'
 'SalesHandy' 'Everest by Validity' 'VipeCloud' 'eMerge' 'Kickdynamic'
 'Remail' 'YetiForce CRM' 'Experiture Marketing Platform' 'Gmelius'
 'Userlist.io' 'Vero' 'Websand' 'Mailblast' 'RealTime Email' 'ReplyUp'
 'Predictive Response' 'FeedOtter' 'If No Reply' 'GuessBox' 'Mat'
 'Mailzak' 'Optinize' 'Marketfox' 'Elevatr' 'SendOut'
 'Stripo.email Plugin' 'IBM Watson Campaign Automation' 'Scribe'
 'GloboMailer' 'Lifecycle' 'GestorB' 'Sarv Email Marketing' 'ConvertLoop'
 'Leado' 'Triggmine' 'Charley' 'FollowUp Inc' 'SmartMailer' 'Steward'
 'MarketingMatic' 'Contact Flow' 'Gammadyne Mailer' 'Plainflow' 'jiMailer'
 'TriggerMail' 'Round-Robin Mailer']"
307,Customer Management,Customer Support Services,"['Freshdesk' 'Service' 'Influx' 'Wise' 'Assist AI'
 'Microsoft Dynamics 365 for Customer Service' 'Chaport Live Chat'
 'WebsiteAlive' 'Onestop' 'Upscope' 'Boomtown' 'Live Chat Monitoring'
 'ManageEngine ServiceDesk Plus' 'Kommunicate' 'Amelia' 'Shipup' 'Solvvy'
 'HelpSite' 'Guru' 'Salesforce Desk.com' 'Textline' 'Moneypenny' 'TaskUs'
 'OwnerListens' 'Agent.ai' 'tuul' 'WORK[etc]' 'Zingaya' 'Next IT'
 'Rocketbots.io' 'Support.com Cloud' 'Ruby Receptionists' 'AnswerConnect'
 'Enginess' 'LiveChat 24/7' 'MailClark' 'Modria' 'QnA Maker by Microsoft'
 'Click2Mail' 'Talkus' 'ChannelReply' 'Echopass' 'Logicbox' 'Thankful'
 'Buffer Reply' 'MightyCall' 'Intradiem' 'Conversable' 'Kylie.ai' 'wrrk'
 '79ecommerce' 'helpware' 'Cyara' 'Nice.Chat' 'Message Direct'
 'Zendesk Support Suite' 'Arise Platform' 'Course Sales' 'NABD System'
 '12Return' 'Kundo' 'Eptica' 'Salesforce WebToCase' 'BubbleIQ'
 'ShareNet Customer Support' 'DreamSupport' 'Ayehu Eyeshare' 'GetInChat'
 'Support.com Nexus']"
308,Customer Management,Survey,"['Google Forms' 'JotForm' '123FormBuilder' 'SurveyMonkey' 'Typeform'
 'Formstack' 'Qualtrics' 'QuestionPro' 'iContact Email Marketing'
 'SurveyMonkey Enterprise' 'SurveyGizmo' 'Qzzr' 'UserVoice' 'SmartSurvey'
 'Qualaroo' 'Pro Profs Poll Maker' 'WebEngage' 'Antlere'
 'ProProfs Survey Maker' 'UserReport' 'Survicate' 'Snap Surveys'
 'Survmetrics' 'Omniconvert' 'Site24x7' 'GetFeedback' 'Nextiva'
 'AskNicely' 'Key Survey' 'Survata' 'eBallot' 'Qualifio' 'soLearn'
 'Voxco Survey Software' 'Checkbox Survey' 'Enalyzer' 'Servmetrics'
 'Repsly Mobile CRM' 'Clicktools for Salesforce' 'SoGoSurvey' 'Eval&GO'
 'Peakon' 'eEndorsements.com' 'Coworkers.com' 'Honestly' 'Zoho Survey'
 'Feedier' 'Hyphen' 'Client Heartbeat' 'CheckMarket' 'Influx MD'
 'Startquestion' 'CustomerSure' 'GoSpotCheck' 'SurveyLegend'
 'SurveySparrow' 'Survey Analytics' 'Starred' 'Device Magic'
 'QuickTapSurvey' 'CoolTool' 'eSurvey' 'Survs' 'Nicereply' 'Phonic'
 'MaritzCX' 'Novi Survey' 'FIVE CRM' 'Surveyi2i' 'Zonka Feedback'
 'Adxstudio Portals' 'SurveyLab' 'Akkroo' 'VibeCatch' 'Contactology'
 'Survey Anyplace' 'Plotto' 'SurveyTool' 'Talmetrix' 'Survey Solutions'
 'SurveyExpression' 'emfluence' 'Interceptum' 'SightMill' 'Zodiac.NET'
 'Smart Audit Interactif (SAI)' 'SurveySwipe' 'Survey Galaxy' 'Datagame'
 'Feedbackstr' 'SurveyFactory' 'ATryBox' 'Datafield'
 'Walsh Mobile Survey Solution' 'SutiSurvey' 'SurveyPocket'
 'Harvest Your Data' 'CallidusCloud CX']"
309,Customer Management,User Feedback Management,"['Qualtrics Research Core' 'Alchemer' 'GuildQuality' 'Usersnap Classic'
 'Wootric' 'Listen360' 'Formlets' 'OpinionLab' 'QuestBack' 'productboard'
 'Mopinion' 'UserTesting' 'Pulse Insights' 'IdeaLab' 'Feedbackify'
 'Satmetrix' 'Pisano' 'Clicktools' 'Formsubmit' 'Doorbell' 'whispli'
 'Dovetail' 'Promoter.io' 'Zonka' 'dscout' 'Pastel' 'Emojics'
 'CustomerSure' 'Suggestion Ox' 'Osurv' 'TurnTo' 'Centercode' 'Delighted'
 'Emolytics' 'Receptive' 'Hively' 'AYTM' 'Formotus' 'GroHawk' 'SentiSum'
 'Alpha UX' 'Shipright' 'YesInsights' 'Customerville' 'CustomerCount'
 'Bluenose' 'FeedbackFive' 'Userback' 'Omoto' 'Ramen' 'Sessionly'
 'Feedbackz' 'Userfeed' 'Nom Nom' 'Conflux' 'Customer Happiness Score'
 'eZee iFeedback' 'Reputada' 'Wantoo' 'ServiceDock' 'TRAB' 'CustomerLove'
 'Handrail' 'uReview.me' 'ReviewStudio' 'Revbay' 'TopBox' 'Polljoy'
 'Inquisium' 'Verbate.co' 'Pay Compliment' 'UsefulFeedback!'
 'Guest Comment' 'SurveyCount' 'BQool Feedback Central' 'Feedbac'
 'CLIENTpulse' 'rekommend' 'Valuiza']"
310,Customer Management,Customer Satisfaction Ratings,"['123FormBuilder' 'Tidio' 'LiveChat' 'Qualtrics' 'Podium' 'Yotpo' 'Bravo'
 'Wix Answers' 'Broadly' 'UserVoice' 'ClickDesk' 'Genesys PureCloud'
 'Gainsight' 'Canny' 'Grade.us' 'NiceJob' 'Wootric' 'Get Satisfaction'
 'LimeSurvey' 'SatisMeter' 'Survicate' 'Totango' 'Customer Thermometer'
 'Blue Enterprise Surveys' 'Nextiva' 'AskNicely' 'xSellco Helpdesk'
 'Key Survey' 'Clarabridge CX Social' 'Retently' 'MindTouch' 'Lithium'
 'Hippo Video' 'Honestly' 'Promoter.io' 'Inavero' 'Feedier'
 'GetMoreReviews' 'Client Heartbeat' 'DTG' 'Helprace' 'SAP C4C Service'
 'Ninchat' 'RepuGen' 'Intouch Insight' 'UserIQ' 'SurveySparrow' 'TurnTo'
 'Starred' 'QuickTapSurvey' 'CustomerGauge' 'Nicereply' 'Emolytics'
 'MaritzCX' 'Zonka Feedback' 'IBM Service Delivery Manager' 'AceBot.ai'
 'Survey Anyplace' 'Temper.io' 'Preferred Patron Loyalty' 'Salesmachine'
 'Reputology' 'SightMill' 'CloudCherry' 'SimpleFeedback'
 'Customer Happiness Score' 'Promoter Ninja' 'Incogneato' 'ReviewCaddy'
 'CustomerLove' 'Praiseworthy' 'Polljoy' 'Annex Cloud Ratings and Reviews'
 'Metriculator' 'ReviewSpreader']"
311,Customer Management,Online Review Management,"['Capterra' 'Shopper Approved' 'KiyOh' 'Connectivity' 'ReviewsOnMyWebsite'
 'Feedback Company' 'Reviews.io' 'Kudobuzz' 'Verified Reviews'
 'SocialShopWave' 'Avejana' 'GuildQuality' 'Review Wave' 'CustomerLobby'
 'TrustSpot' 'Reviewshake' 'ResellerRatings' 'Repuso' 'Feedaty'
 'TargetBay' 'Boast' 'Main Street Hub' 'ReviewBuzz' 'Ekomi' 'ReviewPush'
 'OpenWater' 'G2' 'whispli' 'eEndorsements.com' 'Lipscore' 'AppFollow'
 'Orankl' 'Ziflow' 'SweetIQ' 'ROInnovation' 'ReviewInc' 'Owany'
 'Zuberance' 'StoryBox' 'myPresences' 'Vendasta Technologies'
 'Feedback Genius' 'Reputation Loop' 'HOWL' 'Vinivi' 'Advocately'
 'Sessionly' 'LocalClarity' 'Free Review Monitoring' 'Reviews' 'EMPATHIQ'
 'Customer Happiness Score' 'ReviewBlasters' 'Rivio' 'ReviewBot' 'Qebot'
 'Rivews' 'GrowMyReviews' 'Starloop' 'ReviewJump' 'ReviewCaddy'
 'uReview.me' 'Revbay' 'ReviewTrail' 'TestFreaks' 'Cackle'
 'Annex Cloud Ratings and Reviews' 'Review Magic' 'ReviewsReputation'
 'Field Solution Group' 'Guest Comment' 'Optimum Feedback' 'Spotlight'
 'Acquirly' 'Attracta Review Software' 'Subscriber Voice' 'Foxrate'
 'RatePanda' 'Censura' 'Glowboard']"
312,Customer Management,Customer Loyalty,"['Yotpo' 'Smile.io' 'Bazaarvoice' 'PassMarket' 'Qzzr' 'Medallia'
 'PowerReviews' 'Como' 'Higher Logic' 'NiceJob' 'Get Satisfaction'
 'ReferralCandy' 'FiveStars' 'VoucherCart' 'Ambassador' 'TapMango'
 'Contentsquare' 'Retently' 'Academy LMS' 'Antavo' 'Perkville' 'LevelUp'
 'UXPressia' 'RepeatRewards' 'Belly' 'Bi Worldwide' 'Referral SaaSquatch'
 'Bunchball Nitro' 'InviteBox' 'CustomerSure' 'Loopy Loyalty' 'Badgeville'
 'Voucherify' 'Gleantap' 'Starred' 'Kangaroo' 'Picnic'
 'Comarch Loyalty Management' 'Collect Loyalty' 'ProcedureFlow'
 'SailPlay Loyalty' 'bLoyal' 'iTouchVision Consumer Goods' 'Loyalzoo'
 'Open Loyalty' 'Bungee' 'Kontest' 'SignalMind' 'RewardStream' 'Queue'
 'Preferred Patron Loyalty' 'Salesmachine' 'Currency Alliance' 'Goody'
 'Pobuca Loyalty' 'The Loyalty Box' 'Datagame' 'viCloning' 'ABM Loyalty'
 'Oappso Loyalty']"
313,Customer Management,Customer Experience Management,"['Thematic' 'SAP Hybris' 'Greenwich AIM' 'Kademi' 'Calabrio' 'Merkle'
 'Concentrix' 'Userpilot' 'Marketo Engage' 'Sitecore Experience Platform'
 'JRNI' 'Microsoft Customer Experience Management' 'Vue.ai'
 'SMG - Service Management Group' 'Smaply' 'Emplifi' 'Lumoa' 'Lakeside'
 'HCL Digital Experience' 'CredSpark' 'FeedbackExpress' 'Threekit'
 'Kentico Xperience' 'Spectoos' 'Genesys CIM Platform' 'Lumavate'
 'Keepcon' 'CallMiner Eureka' 'Fizz Customer Experience Platform'
 'SupportLogic' 'Mapp Empower' 'Akamai Ion' 'DictaNova' 'Opiniator' 'TADA'
 'SightMill - NPS Software' 'WEVO' 'BPA Quality' 'Video Reviews'
 'AfterSell' 'Compuware ClientVantage' 'Multi-rater 360 Feedback System'
 'StoryPulse' 'CA Customer Experience Manager (CEM)' 'ListenPort'
 'Heeduser' ""know'N'act"" 'ServeSmart' 'CHI Express' 'Feedback INN'
 'CXONCLOUD' 'INSTANT Insight' 'iTrust Reviews' 'Qmatic Orchestra'
 'Review Camp' 'FastSensor' 'Inbify']"
314,Customer Management,Remote Support,"['TeamViewer' 'ConnectWise Control' 'ScreenConnect' 'DameWare'
 'GoToAssist' 'Zoho Assist' 'Splashtop Remote Support' 'Splashtop SOS'
 'Apple Remote Desktop' 'Splashtop' 'ISL Light'
 'BeyondTrust Remote Support' 'AnyDesk' 'LogMeIn Pro' 'ShowMyPC' 'SupRemo'
 'VNC Connect' 'Goverlan Reach' 'SimpleHelp' 'GoToMyPC' 'RealVNC'
 'Instant Housecall' 'LogMeIn Central' 'Remote Utilities' 'FixMe.IT'
 'Domotz' 'Synchronoss' 'SupportYourApp' 'Surfly' 'CloudWare' 'AeroAdmin'
 'N-able Take Control' 'RemotePC' 'Oracle Secure Global Desktop'
 'SecureLink for Enterprise' 'OvrC' 'Remot3.it'
 'DameWare Mini Remote Control' 'DameWare Remote Support'
 'Glance Networks' 'LogMeIn' 'RemotelyAnywhere' 'RemoteView' 'TightVNC'
 'OmniPresence' 'NetApp SupportEdge' 'Help Desk Essentials'
 'Nischint for Business']"
315,Productivity And Operations,Course Authoring Tools,"['Adobe Presenter' 'Gurucan' 'Lectora' 'McGraw-Hill Connect' 'Scrivener'
 'Brainscape']"
316,Productivity And Operations,Demand Planning,"['SAP Business Planning and Consolidation' 'Oracle Demantra'
 'ServiceNow Demand Management' 'Oracle Demantra Demand Management']"
317,Productivity And Operations,Internal Social Networks,"['Google Groups' 'Edsby' 'Talkspirit' 'Ingeniux' 'Brosix'
 'VMware Socialcast']"
318,Productivity And Operations,Legal Document Management,"['iubenda' 'HighQ' 'Stripe Atlas' 'BusyLamp'
 'OpenText Records Management LegalKEY' 'Wealth Docx']"
319,Productivity And Operations,Legal Research,['Westlaw' 'Lexis Advance' 'Casetext' 'Aderant Spotlight']
320,Productivity And Operations,Other Vertical Tech,['LabVIEW' 'Gingr' 'Yieldr' 'Koha' 'SmartCare']
321,Productivity And Operations,Real Estate Transaction Management,"['MRI Software' 'Skyslope' 'Paperless Pipeline' 'eBrokerHouse'
 'zipForm Plus']"
322,Productivity And Operations,Restaurant Management Software,['Compeat' 'Punchh' 'Restaurant365' 'POSist Cloud Kitchen Management']
323,IT Security,Web And Mobile Application Security,"['WordFence' 'reCAPTCHA Enterprise' 'SAP Afaria' 'Cisco IronPort' 'Sucuri'
 'StackPath' 'Atlassian Access' 'Imperva' 'Trust Guard'
 'IBM Security AppScan' 'Tenable.io' 'AppWall by Radware'
 'Beyond Security' 'Micro Focus Fortify' 'VeraSafe' 'Avast'
 'Cisco Next-Generation Firewalls (NGFWs)' 'Astra Security' 'Netsparker'
 'Zimperium' 'Wandera' 'PulseSecure' 'McAfee Web Protection'
 'PerimeterX Bot Defender' 'Fortify WebInspect' 'Sqreen'
 'Indusface Web Application Firewall' 'Castle'
 'Google Cloud Application Security' 'Cisco Web Security Appliance'
 'Signal Sciences' 'NowSecure' 'Wallarm' 'Outpost24' 'Arxan'
 'Tinfoil Security' 'Lookout' 'Cloudbric' 'RIPS Scanner'
 'Rapid7 Appspider' 'Cisco Cloud Web Security' 'SimpleSAMLphp'
 'ContentKeeper' 'Veracode Static Analysis'
 'Veracode Software Composition Analysis' 'StopTheHacker' 'HyporiVirtual'
 'Netsweeper' 'WhiteSource Software' 'appMobi' 'Swascan'
 'Zend by Perforce' 'McAfee EMM' 'Symantec Web Security Service'
 'Veracode Dynamic Analysis' 'Cigital SecureAssist' 'Skycure' 'IMMUNIO'
 'TeskaLabs' 'DataVisor' 'Sakurity' 'HashCash' 'Corrata'
 'Rapid7 InsightAppSec' 'Rawstream' 'Security Compass SD Elements'
 'Prevoty' 'SkySecure' 'Apozy' 'ImmuniWeb' 'Citrix Analytics Security'
 'Webroot DNS Protection' 'Trend Micro Secure Web Gateway' 'Rails LTS'
 'Flexera Software Vulnerability Manager' 'Tor' 'Lucent Sky' 'ActivShield'
 'Citrix Web App Firewall' 'Veracode Security Labs and MPT' 'dotDefender'
 'N-Stalker' 'Sansa Security'
 'Synopsys Mobile Application Security Testing' 'GamaScan'
 'WhiteHat Sentinel Dynamic' 'ParosPro' 'Appsulate']"
324,IT Security,Data Security And DLP,"['Armor' 'Forcepoint Triton APX' 'NICE Systems' 'Osano'
 'Microsoft BitLocker' 'Acronis' 'Digital Guardian'
 'Symantec Data Loss Prevention' 'GnuPG' 'Dell Data Protection' 'Code42'
 'Informatica PowerExchange' 'RSA DLP' 'Netwrix' 'Sophos Email Gateway'
 'Dell SecureWorks' 'Axcient' 'Dell Credant' 'ObserveIT' 'Vera Security'
 'TrustArc' 'Axway Secure Transport' 'Cryptomator' 'WhiteHat Security'
 'NuCypher' 'Symantec Data Center Security' 'Spirion' 'Boldon James'
 'Sophos Safeguard Encryption' 'Seclore' 'DeviceLock DLP' 'WinMagic'
 'Absolute Software' 'Tarsnap' 'Thales (formerly Vormetric)'
 'McAfee Total Protection for Data Loss Prevention' 'FileVault'
 'Oracle Label Security' 'Dataguise' 'DataNumen Access Repair' 'Lepide'
 'AxCrypt' 'IBM Security Guardium' 'AES Crypt' 'Folder Lock' 'Marshal'
 'Qualys Cloud Agent' 'Cofactor Kite' 'MyDLP' 'GTB Technologies'
 'Ionic Security' 'Endpoint Protector by CoSoSys' 'BlueTalon' 'Cavirin'
 'NetApp DataFort' 'Egress Switch' 'BlackBerry Audit & Archiving Service'
 'StorSimple Hybrid Cloud Storage' 'Proteus GDPReady'
 'Informatica Data Masking' 'Informatica Data Subset'
 'Bitdefender GravityZone' 'ThisData' 'Varonis Datadvantage' 'Apvera'
 'Code Green DLP' 'AristotleInsight' 'iSafeguard' 'Scatter' 'Acra'
 'SAS/SECURE' 'MX' 'Trend Micro Cloud App Security' 'Datto Siris'
 'McAfee Complete Data Protection' 'CurrentWare AccessPatrol'
 'DataSunrise Database Security' 'Kryptel' 'Clover Security'
 'Heimdal CORP' 'AVG File Server Edition' 'ZeroDB']"
325,IT Security,Cloud Security,"['Cloudflare' 'Ghostery' 'McAfee Cloud Security' 'TruComply'
 'Sift Science' 'Choice' 'Symantec Solutions For Small Business'
 'Sumo Logic' 'OneLogin' 'DIGIPASS' 'IDENTIKEY' 'Loggly' 'MX Logic'
 'CloudEntr' 'Intuit Data Protect for QuickBooks' 'Keeper for Business'
 'LastPass' 'Prisma Cloud' 'LogicMonitor' 'Netskope' 'Acunetix'
 'PingFederate' 'Workato' 'Intego Flextivity Secure' 'Prisma Access'
 'BetterCloud for Google Apps' 'Cisco Stealthwatch' 'AWS Artifact'
 'Intuit Data Protection' '1Password' 'Netsparker Security Scanner'
 'McAfee Skyhigh Security Cloud' 'Logz.io' 'Cobalt'
 'Azure Security Centre' 'Alyne' 'Aviatrix' 'Zscaler CSPM' 'Taleo Connect'
 'Qualys Cloud Platform' 'Lacework' 'FTAPI' 'Mitto' 'Zoho Vault'
 'SOS Online Backup' 'CloudPassage Halo' 'Horangi' 'WebTitan'
 'Orca Security' 'CipherCloud' 'Divvycloud' 'CloudLock for Google Apps'
 'ManageEngine ADAudit Plus' 'OmniNet' 'SonicWall SRA'
 'WhiteSource Software' 'Cryptosense Analyzer' 'CloudSploit' 'Cloudknox'
 'Kenna' 'Ermetic' 'Anturis' 'Imperva Cloud Application Security'
 'Broadcom Secure Access Cloud' 'Vanta' 'ThreatML' 'Bitium' 'XM Cyber'
 'RedLock' 'ManageEngine ADManager Plus' 'MYDIGIPASS.COM' 'NovaBACKUP'
 'WISP HR Solution' 'Symplified' 'Cisco Defense Orchestrator'
 'ManageEngine Patch Manager Plus' 'Cloudfinder Backup for Google Apps'
 'Cloudfinder Backup for Salesforce' 'HaltDos' 'CA Secure Cloud'
 'Alertsec Xpress Full Disk Encryption' 'Secure Privacy' 'Fiabee'
 'ThisData - Security' 'ZEROSPAM' 'Cato Cloud' 'InsightCloudSec' 'Britive'
 'SmartCryptor' 'SmartSignin' 'WhiteHaX' 'OpsCompass' 'RESEPT']"
326,IT Security,Endpoint Security,"['Sophos' 'Kaspersky Endpoint Protection' 'Trend Micro'
 'Symantec Endpoint Protection' 'Endgame' 'OpenVPN' 'Qualys' 'Tanium'
 'IBM BigFix' 'Symantec Endpoint Security'
 'Microsoft Defender for Endpoint' 'McAfee Endpoint Protection'
 'ForeScout CounterACT' 'Carbon Black' 'Sophos Central' 'Cylance' 'ngrok'
 'Symantec Endpoint Encryption' 'Shavlik' 'TripWire Enterprise'
 'Kaspersky Endpoint Security' 'Lumension' 'F-Secure Endpoint Security'
 'Cybereason' 'CrowdStrike Falcon: Endpoint Protection' 'BlackBerry QNX'
 'Fortinet FortiClient' 'ESET Endpoint Security' 'Bromium'
 'My Endpoint Protector' 'Sophos Endpoint Security' 'LANDESK'
 'Trend Micro Endpoint Security' 'VMRay Analyzer' 'enSilo' 'ThinAir'
 'Subgraph OS' 'VMware Carbon Black EDR'
 'Proofpoint Security Awareness Training' 'FireEye Endpoint Security'
 'Webroot Business Endpoint Protection'
 'Harmony Endpoint (SandBlast Agent)' 'Comendo'
 'Palo Alto Traps Advanced Endpoint Protection' 'Countertack Sentinel'
 'FireEye Redline' 'HEAT Software' 'MVISION Endpoint Security'
 'Ivanti Unified Endpoint Manager' 'EnCase Endpoint Security' 'Ackcent'
 'VMware vShield Endpoint' 'Fallible' 'Google Cloud Security Scanner'
 'Cyber Triage' 'Falcon Host' 'Symantec End-user Endpoint Security'
 'Avast Endpoint Protection' 'Secdo' 'Bitdefender GravityZone' 'LogMeIn'
 'Trend Micro Secure Web Gateway' 'Cb Protection' 'Dyadic'
 'ESET PROTECT Advanced' 'Check Point Endpoint Security'
 'Zoolz Intelligent Cloud' 'Confer' 'CurrentWare AccessPatrol'
 'Symantec Endpoint Security Enterprise' 'Sentient' 'Heimdal CORP'
 'Reboot to Restore Software' 'Comodo Endpoint Protection' 'cmdSecurity']"
327,IT Security,Virtual Private Network (VPN),"['LogMeIn Hamachi' 'VPN.ht' 'OpenVPN' 'Cisco AnyConnect' 'Google VPC'
 'HideMyAss' 'Google Cloud VPN' 'TorGuard' 'PulseSecure' 'Hola VPN'
 'PureVPN' 'Encrypt.me' 'Mullvad' 'StrongVPN' 'Anonymizer'
 'Azure VPN Gateway' 'Microsoft DirectAccess' 'FastestVPN'
 'Barracuda SSL VPN' 'Incognito VPN' 'IVPN' 'SurfEasy' 'VPN Unlimited'
 'PrivateVPN' 'Le VPN' 'Speedify VPN'
 'Cisco Anyconnect Secure Mobility Client' 'Perfect Privacy' 'SparkLabs'
 'CactusVPN' 'Google Cloud Virtual Network' 'FoxyProxy' 'TunnelBear'
 'Pritunl' 'BolehVPN' 'Datapath Inter Region Connect' 'blackVPN' 'Foxpass'
 'IPredator' 'Hide.me' 'Arcustech' 'Spotflux' 'proXPN' 'AT&T ANIRA'
 'LimeVPN' 'LiquidVPN' 'ExpressVPN' 'Connect Secure' 'CryptoStorm'
 'FreeLAN' 'FreeS/WAN' 'Avaya VPN Gateway' 'Private Internet Access'
 'Privatoria VPN Tor' 'Hotspot Shield' 'ProtonVPN' 'Shimo VPN'
 'Cisco VPN 5000' 'IPVanish VPN' 'VMware PLUMgrid' 'Lancom VPN'
 'NetMotion Enterprise VPN' 'Tunnelr' 'Nohodo' 'Business VPN by KeepSolid'
 'NetGear VPN Firewalls' 'Nektony VPN Client']"
328,IT Security,Electronic Discovery,"['Kroll Ontrack eDiscovery' 'Oracle Endeca' 'Intelius' 'Ringtail'
 'Exterro' 'AccessData' 'Encase eDiscovery' 'DISCO eDiscovery'
 'Magnet IEF' 'Everlaw' 'Ipro' 'Lexbe eDiscovery Platform' 'ONE Discovery'
 'Veritas eDiscovery' 'Actiance' 'Nextpoint' 'VenioOne' 'PageFreezer'
 'Sonasoft' 'MailArchiva' 'MailXaminer' 'Document Decisioning Suite'
 'Clustify' 'EDT' 'Mindseye' 'Cloudnine Discovery' 'iControl ESI'
 'Belkasoft Evidence Center' 'Tomoko Discovery' 'iCONECT-XERA'
 'OSForensics' 'Breeze eDiscovery Suite' 'Cavo eD' 'Axcelerate']"
